Abscondita terminalis
Acanthaster planci
Acanthocheilonema viteae
Acromyrmex charruanus
Acromyrmex echinatior
Acromyrmex heyeri
Acromyrmex insinuator
Acropora digitifera
Acropora millepora
Actinia tenebrosa
Acyrthosiphon pisum
Adineta ricciae
Adineta steineri
Aedes aegypti
Aedes albopictus
Aethina tumida
Agrilus planipennis
Amphibalanus amphitrite
Amphimedon queenslandica
Ampulex compressa
Amyelois transitella
Ancylostoma caninum
Ancylostoma ceylanicum
Ancylostoma duodenale
Angiostrongylus cantonensis
Angiostrongylus costaricensis
Anisakis simplex
Anneissia japonica
Anopheles albimanus
Anopheles arabiensis
Anopheles coluzzii
Anopheles darlingi
Anopheles sinensis
Anopheles stephensi
Anoplophora glabripennis
Aphidius gifuensis
Aphis craccivora
Aphis glycines
Aphis gossypii
Apis cerana
Apis cerana cerana
Apis dorsata
Apis florea
Apis mellifera
Apis mellifera caucasica
Aplysia californica
Apolygus lucorum
Apostichopus japonicus
Araneus ventricosus
Arctia plantaginis
Argiope bruennichi
Aricia agestis
Armadillidium nasatum
Armadillidium vulgare
Asbolus verrucosus
Asterias rubens
Athalia rosae
Atta cephalotes
Atta colombica
Aurelia coerulea
Bactrocera dorsalis
Bactrocera oleae
Bactrocera tryoni
Batillaria attramentaria
Belonocnema treatae
Bemisia tabaci
Bicyclus anynana
Biomphalaria glabrata
Bombus bifarius
Bombus impatiens
Bombus terrestris
Bombus vancouverensis nearcticus
Bombus vosnesenskii
Bombyx mori
Brachionus calyciflorus
Brachionus plicatilis
Bradysia coprophila
Bradysia odoriphaga
Branchiostoma belcheri
Branchiostoma floridae
Brugia malayi
Brugia pahangi
Brugia timori
Bugula neritina
Bursaphelenchus okinawaensis
Bursaphelenchus xylophilus
Caenorhabditis bovis
Caenorhabditis brenneri
Caenorhabditis briggsae
Caenorhabditis elegans
Caenorhabditis nigoni
Caenorhabditis remanei
Caligus clemensi
Caligus rogercresseyi
Callosobruchus maculatus
Camponotus floridanus
Candidula unifasciata
Capitella teleta
Centruroides sculpturatus
Cephus cinctus
Ceratina calcarata
Ceratitis capitata
Ceratosolen solmsi marchali
Chelonus insularis
Chionoecetes opilio
Cimex lectularius
Cinara cedri
Cloeon dipterum
Clonorchis sinensis
Clunio marinus
Clytia hemisphaerica
Contarinia nasturtii
Copidosoma floridanum
Coptotermes formosanus
Cotesia chilonis
Cotesia congregata
Crassostrea gigas
Crassostrea virginica
Cryptotermes secundus
Ctenocephalides felis
Culex pipiens pallens
Culex quinquefasciatus
Cylicostephanus goldi
Cyphomyrmex costatus
Cyprideis torosa
Danaus plexippus plexippus
Daphnia magna
Daphnia pulex
Darwinula stevensoni
Dendroctonus ponderosae
Dendronephthya gigantea
Dermacentor silvarum
Dermatophagoides pteronyssinus
Diabrotica virgifera virgifera
Diachasma alloeum
Diaphorina citri
Dibothriocephalus latus
Dictyocaulus viviparus
Didymodactylos carnosus
Dimorphilus gyrociliatus
Dinoponera quadriceps
Dinothrombium tinctorium
Diploscapter pachys
Diuraphis noxia
Dracunculus medinensis
Drosophila albomicans
Drosophila ananassae
Drosophila arizonae
Drosophila biarmipes
Drosophila bipectinata
Drosophila busckii
Drosophila elegans
Drosophila erecta
Drosophila eugracilis
Drosophila ficusphila
Drosophila grimshawi
Drosophila guanche
Drosophila hydei
Drosophila innubila
Drosophila kikkawai
Drosophila melanogaster
Drosophila miranda
Drosophila mojavensis
Drosophila navojoa
Drosophila novamexicana
Drosophila obscura
Drosophila persimilis
Drosophila rhopaloa
Drosophila sechellia
Drosophila simulans
Drosophila subobscura
Drosophila subpulchrella
Drosophila suzukii
Drosophila takahashii
Drosophila virilis
Drosophila willistoni
