Species	Trait
Abscondita_terminalis	Both
Acanthaster_planci	Both
Acanthocheilonema_viteae	NAMPT_Only
Acromyrmex_charruanus	PNC1_Only
Acromyrmex_echinatior	PNC1_Only
Acromyrmex_heyeri	PNC1_Only
Acromyrmex_insinuator	PNC1_Only
Acropora_digitifera	Both
Acropora_millepora	Both
Actinia_tenebrosa	Both
Acyrthosiphon_pisum	PNC1_Only
Adineta_ricciae	Both
Adineta_steineri	Both
Aedes_aegypti	PNC1_Only
Aedes_albopictus	PNC1_Only
Aethina_tumida	PNC1_Only
Agrilus_planipennis	PNC1_Only
Amphibalanus_amphitrite	PNC1_Only
Amphimedon_queenslandica	NAMPT_Only
Ampulex_compressa	PNC1_Only
Amyelois_transitella	PNC1_Only
Ancylostoma_caninum	NAMPT_Only
Ancylostoma_ceylanicum	Both
Ancylostoma_duodenale	NAMPT_Only
Angiostrongylus_cantonensis	NAMPT_Only
Angiostrongylus_costaricensis	NAMPT_Only
Anisakis_simplex	Both
Anneissia_japonica	Both
Anopheles_albimanus	PNC1_Only
Anopheles_arabiensis	PNC1_Only
Anopheles_coluzzii	PNC1_Only
Anopheles_darlingi	PNC1_Only
Anopheles_sinensis	PNC1_Only
Anopheles_stephensi	PNC1_Only
Anoplophora_glabripennis	PNC1_Only
Aphidius_gifuensis	PNC1_Only
Aphis_craccivora	PNC1_Only
Aphis_glycines	PNC1_Only
Aphis_gossypii	PNC1_Only
Apis_cerana	PNC1_Only
Apis_cerana_cerana	PNC1_Only
Apis_dorsata	PNC1_Only
Apis_florea	PNC1_Only
Apis_mellifera	PNC1_Only
Apis_mellifera_caucasica	PNC1_Only
Aplysia_californica	Both
Apolygus_lucorum	PNC1_Only
Apostichopus_japonicus	NAMPT_Only
Araneus_ventricosus	PNC1_Only
Arctia_plantaginis	PNC1_Only
Argiope_bruennichi	PNC1_Only
Aricia_agestis	PNC1_Only
Armadillidium_nasatum	PNC1_Only
Armadillidium_vulgare	PNC1_Only
Asbolus_verrucosus	PNC1_Only
Asterias_rubens	Both
Athalia_rosae	PNC1_Only
Atta_cephalotes	PNC1_Only
Atta_colombica	PNC1_Only
Aurelia_coerulea	PNC1_Only
Bactrocera_dorsalis	PNC1_Only
